 demo                      SWAT+ 2026-07-13        MODULAR Rev 2026.cb442f7c05fc3bfc34349c446010f452d2737c
 freq       soil_lyr  soil_depth        jday         mon         day          yr        unit                gis_id name                   cfmets1        cfstrs1        cfstrs2        efmets1        efstrs1        efstrs2       immmets1       immstrs1       immstrs2       mnrmets1       mnrstrs1       mnrstrs2        co2fmet        co2fstr         cfs1s2         cfs1s3         cfs2s1         cfs2s3         cfs3s1         efs1s2         efs1s3         efs2s1         efs2s3         efs3s1        imms1s2        imms1s3        imms2s1        imms2s3        imms3s1        mnrs1s2        mnrs1s3        mnrs2s1        mnrs2s3        mnrs3s1         co2fs1         co2fs2         co2fs3
                              mm                                                                                                          kg_C/ha        kg_C/ha        kg_C/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_C/ha        kg_C/ha        kg_C/ha        kg_C/ha        kg_C/ha        kg_C/ha        kg_C/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_N/ha        kg_C/ha        kg_C/ha
 day               3          50           1           1           1        1975           2                     1 hru0002            1.334054      1.1779116E-03  7.3292204E-03  0.1334054      1.5978088E-05  9.9419114E-05  0.3068324      3.7273276E-04  5.0890620E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.630510      4.5807646E-03  0.1526355      2.8848418E-03  2.7156767E-02  3.2509197E-03  3.6827778E-03  1.2668743E-02  2.3944186E-04  2.7156766E-03  3.2509197E-04  3.6827772E-04  0.0000000E+00  0.0000000E+00  6.2460569E-03  1.3978957E-04  8.4703899E-04  6.4106891E-03  1.2116336E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1412741      3.7164953E-02  4.5011728E-03
 day               4         100           1           1           1        1975           2                     1 hru0002            6.201359      5.2478230E-03  3.2653123E-02  0.6201359      3.4985485E-05  2.1768748E-04   1.178618      1.4871873E-03  2.4378805E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00   7.579439      2.0408204E-02  0.7342913      1.3878260E-02  0.1306445      1.5639368E-02  1.7716931E-02  5.9717432E-02  1.1286719E-03  1.3064448E-02  1.5639368E-03  1.7716931E-03  0.0000000E+00  0.0000000E+00  2.4830021E-02  6.3617143E-04  3.3672438E-03  3.2068983E-02  6.0611055E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.6796350      0.1787914      2.1654027E-02
 day               5         150           1           1           1        1975           2                     1 hru0002            6.254707      5.2929688E-03  3.2934032E-02  0.6254708      3.5286459E-05  2.1956023E-04  0.9339156      1.2843250E-03  2.3794374E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00   7.644643      2.0583771E-02  0.7406082      1.3997651E-02  0.1317684      1.5773911E-02  1.7869346E-02  5.8445282E-02  1.1046282E-03  1.3176838E-02  1.5773912E-03  1.7869344E-03  0.0000000E+00  0.0000000E+00  1.9674869E-02  5.9847778E-04  2.6681444E-03  3.4130737E-02  6.4507814E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.6854817      0.1803295      2.1840312E-02
 day               6         200           1           1           1        1975           2                     1 hru0002            2.771222      2.3451140E-03  1.4591817E-02  0.2771222      1.5634094E-05  9.7278775E-05  0.3323469      5.0012191E-04  1.0226514E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00   3.387050      9.1198869E-03  0.3281353      6.2018256E-03  5.8381546E-02  6.9888188E-03  7.9172254E-03  2.5184564E-02  4.7599358E-04  5.8381543E-03  6.9888186E-04  7.9172256E-04  0.0000000E+00  0.0000000E+00  7.0015765E-03  2.4764810E-04  9.4949617E-04  1.5832342E-02  2.9923461E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.3037108      7.9897121E-02  9.6766092E-03
 day               7         300           1           1           1        1975           2                     1 hru0002            5.573756      4.7167251E-03  2.9348506E-02  0.5573756      3.1444833E-05  1.9565670E-04  0.4484118      8.1969087E-04  1.9477312E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00   6.812369      1.8342819E-02  0.6599781      1.2473725E-02  0.1174227      1.4056603E-02  1.5923906E-02  4.8199698E-02  9.1098441E-04  1.1742274E-02  1.4056603E-03  1.5923906E-03  0.0000000E+00  0.0000000E+00  9.4467262E-03  4.3599238E-04  1.2810872E-03  3.4297563E-02  6.4823119E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.6108532      0.1606970      1.9462552E-02
 day               8         450           1           1           1        1975           2                     1 hru0002            8.270748      6.9990223E-03  4.3549459E-02  0.8270748      4.6660149E-05  2.9032971E-04  0.3787227      9.7373169E-04  2.6984157E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00   10.10869      2.7218416E-02  0.9793237      1.8509425E-02  0.1742404      2.0858213E-02  2.3629056E-02  6.7209773E-02  1.2702789E-03  1.7424041E-02  2.0858212E-03  2.3629055E-03  0.0000000E+00  0.0000000E+00  7.9785790E-03  5.3378008E-04  1.0819891E-03  5.5205695E-02  1.0433992E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.9064287      0.2384539      2.8879957E-02
 day               9         600           1           1           1        1975           2                     1 hru0002            4.637519      3.9244448E-03  2.4418760E-02  0.4637519      2.6162965E-05  1.6279174E-04  0.1164378      4.6481562E-04  1.4303582E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00   5.668079      1.5261726E-02  0.5491199      1.0378482E-02  9.7698942E-02  1.1695480E-02  1.3249128E-02  3.5826154E-02  6.7712186E-04  9.7698942E-03  1.1695479E-03  1.3249129E-03  0.0000000E+00  0.0000000E+00  2.4530040E-03  2.4874113E-04  3.3265620E-04  3.2813832E-02  6.2018837E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.5082467      0.1337043      1.6193379E-02
 day              10         750           1           1           1        1975           2                     1 hru0002            1.838784      1.5560491E-03  9.6820807E-03  0.1838784      1.0373661E-05  6.4547203E-05  2.1134540E-02  1.6311608E-04  5.4140808E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00   2.247403      6.0513015E-03  0.2177270      4.1150860E-03  3.8737800E-02  4.6372777E-03  5.2533019E-03  1.3626495E-02  2.5754364E-04  3.8737801E-03  4.6372777E-04  5.2533019E-04  0.0000000E+00  0.0000000E+00  4.4524274E-04  8.2445942E-05  6.0380145E-05  1.3589380E-02  2.5684212E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2015207      5.3013984E-02  6.4207027E-03
 day              11         900           1           1           1        1975           2                     1 hru0002            1.336703      1.1311698E-03  7.0383856E-03  0.1336703      7.5411322E-06  4.6922574E-05  2.6005208E-03  1.0777650E-04  3.7865547E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.633749      4.3989923E-03  0.1583338      2.8113723E-03  2.7337875E-02  3.2890609E-03  3.8188859E-03  9.5736971E-03  1.6999044E-04  2.7337875E-03  3.2890608E-04  3.8188856E-04  0.0000000E+00  0.0000000E+00  5.3185038E-05  4.9114547E-05  7.4295385E-06  1.0218021E-02  1.8143113E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1529045      3.7432924E-02  4.6675275E-03
 day              12        1050           1           1           1        1975           2                     1 hru0002           0.6514059      5.5124442E-04  3.4299644E-03  6.1848946E-02  3.6749630E-06  2.2866428E-05  0.0000000E+00  4.8663962E-05  1.7865218E-04  3.2916442E-03  0.0000000E+00  0.0000000E+00  0.7961628      2.1437281E-03  7.7085301E-02  1.2295813E-03  1.2721891E-02  1.5420953E-03  1.8610298E-03  4.5289458E-03  7.2240844E-05  1.2079035E-03  1.5420953E-04  1.7669893E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.9416213E-05  0.0000000E+00  5.1067169E-03  8.1456819E-05  6.4285588E-05  0.0000000E+00  9.4040588E-06  7.9323761E-02  1.7433761E-02  2.2745919E-03
