unit_name,unit_kind,source_file,start_line,parent_unit,reachable_from_main,depth_from_main,first_path_from_main,called_by_known,called_by_reachable_from_main,calls_known_local,calls_known_local_count,calls_unresolved_or_external,calls_ambiguous_local_names,raw_call_sites
proc_db,subroutine,SWATPLUS/swatplus/src/proc_db.f90,1,,yes,1,main > proc_db,main,main,cntbl_read;cons_prac_read;fert_parm_read;landuse_read;manure_db_read;manure_orgmin_read;mgt_read_chemapp;mgt_read_fireops;mgt_read_grazeops;mgt_read_harvops;mgt_read_irrops;mgt_read_mgtops;mgt_read_puddle;mgt_read_sweepops;overland_n_read;path_parm_read;pest_parm_read;plant_parm_read;plant_transplant_read;plantparm_init;readpcom;sat_buff_read;scen_read_bmpuser;scen_read_filtstrip;scen_read_grwway;sdr_read;sep_read;septic_parm_read;till_parm_read;urban_parm_read,30,,,plant_parm_read:13;plantparm_init:14;plant_transplant_read:15;till_parm_read:16;pest_parm_read:17;fert_parm_read:18;manure_orgmin_read:19;manure_db_read:20;urban_parm_read:21;path_parm_read:22;septic_parm_read:23;mgt_read_irrops:26;mgt_read_chemapp:27;mgt_read_harvops:28;mgt_read_grazeops:29;mgt_read_sweepops:30;mgt_read_fireops:31;mgt_read_mgtops:32;mgt_read_puddle:33;sdr_read:36;sep_read:37;scen_read_grwway:38;scen_read_filtstrip:39;scen_read_bmpuser:40;sat_buff_read:41;readpcom:44;cntbl_read:46;cons_prac_read:47;overland_n_read:48;landuse_read:49
proc_hru,subroutine,SWATPLUS/swatplus/src/proc_hru.f90,1,,yes,1,main > proc_hru,main,main,cn2_init_all;cs_hru_init;hru_allo;hru_lum_init_all;hru_output_allo;hru_read;hrudb_init;hydro_init;open_output_file;pathogen_init;pesticide_init;plant_all_init;rte_read_nut;salt_hru_init;soils_init;structure_init;structure_set_parms;topohyd_init,18,,,hru_allo:24;hru_read:25;hrudb_init:26;hru_lum_init_all:27;topohyd_init:28;hru_output_allo:29;structure_set_parms:35;soils_init:39;structure_init:40;plant_all_init:41;cn2_init_all:42;hydro_init:43;pesticide_init:44;pathogen_init:45;salt_hru_init:46;cs_hru_init:47;open_output_file:51;open_output_file:57;rte_read_nut:72
proc_open,subroutine,SWATPLUS/swatplus/src/proc_open.f90,1,,yes,1,main > proc_open,main,main,header_aquifer;header_channel;header_const;header_hyd;header_lu_change;header_mgt;header_path;header_pest;header_reservoir;header_salt;header_sd_channel;header_water_allocation;header_wetland;header_write;header_yield;output_landscape_init,16,,,output_landscape_init:11;header_channel:12;header_aquifer:13;header_sd_channel:14;header_mgt:15;header_lu_change:16;header_yield:17;header_hyd:18;header_reservoir:19;header_wetland:20;header_water_allocation:22;header_pest:24;header_path:25;header_salt:26;header_const:27;header_write:29
proc_read,subroutine,SWATPLUS/swatplus/src/proc_read.f90,1,,yes,1,main > proc_read,main,main,ch_read_temp;cli_read_atmodep;cli_read_atmodep_cs;cli_read_atmodep_salt;cli_staread;constit_db_read;cs_aqu_read;cs_fert_read;cs_hru_read;cs_irr_read;cs_plant_read;cs_reactions_read;cs_uptake_read;cs_urban_read;field_read;hmet_hru_aqu_read;hydrol_read;path_hru_aqu_read;pest_hru_aqu_read;pest_metabolite_read;salt_aqu_read;salt_fert_read;salt_hru_read;salt_irr_read;salt_plant_read;salt_roadsalt_read;salt_uptake_read;salt_urban_read;shade_factor_read;snowdb_read;soil_db_read;soil_lte_db_read;soil_plant_init;solt_db_read;topo_read,35,,,ch_read_temp:18;cli_read_atmodep:19;cli_staread:20;constit_db_read:22;pest_metabolite_read:23;soil_plant_init:24;solt_db_read:25;pest_hru_aqu_read:26;path_hru_aqu_read:27;hmet_hru_aqu_read:28;salt_hru_read:31;salt_aqu_read:32;salt_irr_read:33;salt_plant_read:34;cli_read_atmodep_salt:35;salt_roadsalt_read:36;salt_uptake_read:37;salt_urban_read:38;salt_fert_read:39;cs_hru_read:42;cs_aqu_read:43;cli_read_atmodep_cs:44;cs_irr_read:45;cs_plant_read:46;cs_uptake_read:47;cs_reactions_read:48;cs_urban_read:49;cs_fert_read:50;topo_read:52;field_read:53;hydrol_read:54;shade_factor_read:56;snowdb_read:58;soil_db_read:59;soil_lte_db_read:60
proc_res,subroutine,SWATPLUS/swatplus/src/proc_res.f90,1,,yes,1,main > proc_res,main,main,res_allo;res_initial;res_objects;res_read;res_read_conds;res_read_csdb;res_read_hyd;res_read_init;res_read_nut;res_read_salt_cs;res_read_saltdb;res_read_sed,12,,,res_read_hyd:13;res_read_sed:14;res_read_nut:15;res_read_init:17;res_read_saltdb:20;res_read_csdb:21;res_read_conds:23;res_allo:26;res_objects:27;res_read:30;res_read_salt_cs:31;res_initial:32
recalldb_read,subroutine,SWATPLUS/swatplus/src/recall_read.f90,1,,yes,1,main > recalldb_read,main,main,recall_read,1,,,recall_read:61
res_read_weir,subroutine,SWATPLUS/swatplus/src/res_read_weir.f90,1,,yes,1,main > res_read_weir,main,main,,0,,,
salt_cha_read,subroutine,SWATPLUS/swatplus/src/salt_cha_read.f90,1,,yes,1,main > salt_cha_read,main,main,,0,,,
soil_nutcarb_init,subroutine,SWATPLUS/swatplus/src/soil_nutcarb_init.f90,1,,yes,1,main > soil_nutcarb_init,main,main,,0,,,
swift_output,subroutine,SWATPLUS/swatplus/src/swift_output.f90,1,,yes,1,main > swift_output,main,main,copy_file;hyd_convert_mass_to_conc,2,system,,system:72;copy_file:100;hyd_convert_mass_to_conc:148
